,date,value,ub,lb,std
230,06/19/2022,1363.9382716049383,1520.8145249918348,1207.0620182180419,156.87625338689656
231,06/20/2022,1331.462962962963,1484.376040137298,1178.549885788628,152.91307717433511
232,06/21/2022,1300.0185185185185,1449.0853197471533,1150.9517172898836,149.06680122863486
233,06/22/2022,1269.4938271604938,1414.819743356608,1124.1679109643796,145.32591619611424
234,06/23/2022,1240.0,1381.6970719511112,1098.3029280488888,141.69707195111127
235,06/24/2022,1211.462962962963,1349.6380355751821,1073.287890350744,138.17507261221903
236,06/25/2022,1183.8148148148148,1318.569690756005,1049.0599388736246,134.75487594119016
237,06/26/2022,1157.0555555555557,1288.491687718294,1025.6194233928172,131.43613216273846
238,06/27/2022,1131.0987654320988,1259.3200294678506,1002.877501396347,128.22126403575183
239,06/28/2022,1106.0,1231.0999701144908,980.9000298855092,125.09997011449079
240,06/29/2022,1081.6975308641975,1203.7767988419057,959.6182628864892,122.07926797770821
241,06/30/2022,1058.2407407407406,1177.3924288828948,939.0890525985865,119.15168814215414
242,07/01/2022,1035.4506172839506,1151.7668122551154,919.1344223127858,116.31619497116475
